Probe	Symbol	acg	dlpfc	cb	amy	hc	nacc	new-mean-6	Symbol									
406_at	ARNTL	-4	-5	-5	-6	-5	-4	1.58114E-05	ARNTL									
8864_at	PER2	8	9	6	8	7	12	4.72871E-05	PER2									
8863_at	PER3	5	6	3	6	6	5	4.92325E-05	PER3									
9572_at	NR1D1	1	2	0	4	3	2	8.4507E-05	NR1D1									
1628_at	DBP	5	5	2	6	6	5	9.97491E-05	DBP									
6421_at	SFPQ	12	15	12	14	14	15	0.001399797	SFPQ									
80760_at	ITIH5	13	12	15	13	10	14	0.001791709	ITIH5									
3949_at	LDLR	1	2	1	0	0	-1	0.001892138	LDLR									
5187_at	PER1	1	3	3	3	1	2	0.002431018	PER1									
3638_at	INSIG1	3	2	1	-2	1	6	0.002890921	INSIG1									
23516_at	SLC39A14	1	0	3	3	3	2	0.003422419	SLC39A14									
4783_at	NFIL3	-4	-5	-6	-4	-4	-2	0.004979839	NFIL3*									
6645_at	SNTB2	1	5	-6	8	2	2	0.005163425	SNTB2									
23024_at	PDZRN3	2	3	1	9	5	-6	0.005615911	PDZRN3									
8553_at	BHLHE40	2	7	2	5	4	2	0.00575605	BHLHE40									
79365_at	BHLHE41	5	4	3	5	3	4	0.006438422	BHLHE41									
3131_at	HLF	6	7	6	10	6	6	0.006768596	HLF									
2119_at	ETV5	14	12	10	11	16	15	0.00725768	ETV5									
79155_at	TNIP2	3	2	-2	0	2	0	0.007611349	TNIP2									
23344_at	ESYT1	2	6	4	3	3	3	0.008501468	ESYT1									
84124_at	ZNF394	1	6	5	3	3	-2	0.008990515	ZNF394									
54103_at	PION	10	10	11	11	11	10	0.010495892	PION									
2830_at	GPR6	2	2	6	-5	3	-3	0.011543177	GPR6									
1678_at	TIMM8A	-3	-3	10	-4	11	8	0.011679627	TIMM8A									
221395_at	GPR116	15	12	12	8	9	13	0.011747867	GPR116									
23769_at	FLRT1	13	17	10	10	15	11	0.012196189	FLRT1									
55790_at	CSGALNACT1	-6	16	10	13	14	16	0.012218441	CSGALNACT1									
55255_at	WDR41	9	11	4	7	10	10	0.012231903	WDR41									
81575_at	APOLD1	1	3	1	2	0	1	0.012600307	APOLD1									
388_at	RHOB	-1	-3	-5	-1	-2	-1	0.012602249	RHOB									
6322_at	SCML1	1	0	-1	0	3	0	0.013102184	SCML1									
81848_at	SPRY4	14	12	8	11	14	17	0.013615316	SPRY4									
4548_at	MTR	6	10	10	4	9	9	0.013800982	MTR									
5359_at	PLSCR1	0	-2	-1	1	1	0	0.013953935	PLSCR1									
55763_at	EXOC1	12	16	16	-5	17	12	0.014223534	EXOC1									
8462_at	KLF11	0	-2	-6	4	0	-1	0.014373543	KLF11									
28231_at	SLCO4A1	-1	1	-2	1	1	0	0.014414088	SLCO4A1									
8835_at	SOCS2	-1	1	6	-4	1	3	0.014463601	SOCS2									
10974_at	C10orf116	9	10	9	8	12	15	0.014639665	C10orf116									
57335_at	ZNF286A	-5	5	10	15	11	7	0.014723547	ZNF286A									
2620_at	GAS2	-1	-1	-3	-2	7	-2	0.014751068	GAS2									
23025_at	UNC13A	10	11	15	10	13	11	0.015203613	UNC13A									
495_at	ATP4A	-5	4	6	10	-2	6	0.01550078	ATP4A									
5983_at	RFC3	2	1	12	16	8	8	0.015713309	RFC3									
55856_at	ACOT13	-5	16	10	-4	15	-3	0.015771106	ACOT13									
29923_at	C7orf68	1	4	1	1	1	3	0.015866684	C7orf68									
23336_at	SYNM	4	4	8	3	5	6	0.015871678	SYNM									
3062_at	HCRTR2	9	2	10	8	11	12	0.016118112	HCRTR2									
9183_at	ZW10	15	1	2	10	-2	15	0.01671318	ZW10									
4862_at	NPAS2	-5	-6	-5	10	-3	17	0.017082207	NPAS2									
54915_at	YTHDF1	3	2	5	4	2	3	0.017176737										
6570_at	SLC18A1	13	2	2	11	7	4	0.017550582										
860_at	RUNX2	17	6	9	-6	-6	12	0.017761656										
5190_at	PEX6	2	1	3	5	3	4	0.017892571										
2155_at	F7	11	11	-4	-6	9	16	0.017909448										
5105_at	PCK1	6	6	-5	8	7	1	0.017988539										
8771_at	TNFRSF6B	2	-1	-2	3	2	1	0.018258153										
55208_at	DCUN1D2	6	4	1	3	6	10	0.018258662										
8289_at	ARID1A	-4	-2	-1	8	-2	-1	0.018336745										
23705_at	CADM1	-5	16	-3	16	16	16	0.01846347										
10199_at	MPHOSPH10	6	9	2	3	10	13	0.018470009										
51668_at	HSPB11	-6	14	-2	12	10	-6	0.018738995										
6890_at	TAP1	2	-3	-3	4	-2	-1	0.019096261										
10613_at	ERLIN1	0	1	-1	15	-2	7	0.019151407										
602_at	BCL3	-1	4	-4	0	0	-1	0.019186421										
10994_at	ILVBL	3	0	-1	0	3	1	0.01948386										
10058_at	ABCB6	5	4	6	-2	4	0	0.019602636										
64762_at	FAM59A	10	15	-4	14	-6	17	0.019662955										
51129_at	ANGPTL4	0	0	-1	1	0	0	0.019683089										
2719_at	GPC3	-4	11	8	12	-2	8	0.020171343										
4295_at	MLN	-1	5	0	9	-2	11	0.020310145										
56267_at	CCBL2	12	10	10	11	12	10	0.020478974										
5010_at	CLDN11	-1	-3	-3	-1	-3	-6	0.021020299										
7014_at	TERF2	-1	5	6	2	-4	6	0.021301943										
23764_at	MAFF	0	2	-1	0	0	0	0.021750956										
133_at	ADM	2	4	0	1	1	1	0.021769336										
79770_at	TXNDC15	-2	-5	-3	-4	9	-2	0.021966153										
2810_at	SFN	3	3	4	4	0	7	0.021968424										
3669_at	ISG20	2	-2	-6	1	1	-3	0.022090843										
10966_at	RAB40B	7	7	16	10	4	10	0.022787732										
3298_at	HSF2	2	-4	-1	0	2	7	0.023061816										
8644_at	AKR1C3	13	15	11	14	13	17	0.023139482										
54517_at	PUS7	4	3	12	3	3	11	0.023144798										
65985_at	AACS	7	8	9	8	8	11	0.023233444										
11072_at	DUSP14	2	6	7	9	8	14	0.023289298										
7037_at	TFRC	1	1	-4	0	-2	-1	0.023385214										
27075_at	TSPAN13	10	9	11	9	4	11	0.023578815										
10135_at	NAMPT	2	-2	2	2	1	1	0.02379091										
5134_at	PDCD2	10	13	7	10	8	15	0.023869535										
11102_at	RPP14	0	1	1	12	12	0	0.023911598										
8490_at	RGS5	14	11	15	15	10	14	0.023944122										
84790_at	TUBA1C	-5	4	2	4	0	3	0.024616486										
79137_at	FAM134A	5	6	7	2	-2	2	0.024621554										
7088_at	TLE1	15	11	12	13	16	17	0.024686155										
3158_at	HMGCS2	-5	7	-6	-4	12	7	0.024743971										
4071_at	TM4SF1	1	6	-1	0	1	1	0.024825215										
6687_at	SPG7	6	8	5	7	5	7	0.025236281										
54910_at	SEMA4C	6	1	-1	1	4	10	0.02524317										
3250_at	HPR	14	13	12	14	14	14	0.025361381										
3156_at	HMGCR	4	3	2	4	8	7	0.025504151										
1663_at	DDX11	-5	-4	14	17	-6	-4	0.025522677										
51599_at	LSR	17	14	15	-2	6	-5	0.025642633										
55220_at	KLHDC8A	-6	7	14	-1	1	6	0.025682058										
56623_at	INPP5E	15	10	9	11	7	13	0.02578592										
55317_at	C20orf29	6	17	10	6	5	-1	0.025935174										
27346_at	TMEM97	5	4	3	1	6	5	0.026085005										
79364_at	ZXDC	8	4	8	9	-3	2	0.026108196										
4335_at	MNT	7	6	8	8	3	2	0.026135451										
55129_at	ANO10	17	2	15	10	10	11	0.026353328										
4919_at	ROR1	-4	5	12	16	13	17	0.02638653										
8335_at	HIST1H2AB	-4	-1	-1	-4	-5	-3	0.026474979										
