BICUniqueID	FullName	Field.Name	CsvName	Alias..Field.Name.description.	Data.Type	Categorical.Values	Categorical.Definitions	FormName	Calculated.Created.variable..1.yes.	Continous.Range.Min	Continous.Range.Max	Data.Set.Name.	Field.Name.Alias..Field.Name.description.
pass1bf0001	pid	pid	Key	Unique, randomly generated 8 digit numeric identifier used in linkage to phenotypic data	varchar								
pass1bf0002	bid	bid	Specimen.Processing	Unique 5 digit numeric identifier of all samples collected for an acute test/sample collection period. All samples collected during that period will have the same BID.	varchar			Animal Sample Processing					
pass1bf0003	labelid	labelid	Specimen.Processing	Unique 11 digit identifier for specimen label ID, originating at the collection site, that provides a link to specimen processing and used for shipments to the biorepository (will be the same as VialLabel only in instances where aliquots are not further processed at the biorepository)	varchar			Animal Sample Processing					
pass1bf0004	viallabel	viallabel		Unique 11 digit numeric identifier of a sample vial made up of the BID, Timepoint, Sample Type, and Aliquot number									
pass1bf0005	Key.protocol	protocol	Key	Protocol in which the procedures for sample collection were outlined.	int	|1|2	|Phase 1A|Phase 1B						
pass1bf0006	Key.agegroup	agegroup	Key	Age group for the animal	int	|1|2	|6 months|18 months						
pass1bf0007	Key.d_arrive	d_arrive	Key	Date animal arrived at site (d_arrive from Animal Registration Form)	datetime								
pass1bf0008	Key.d_sacrifice	d_sacrifice	Key	Date animal sacrificed (d_visit from Animal Specimen Collection Form)	datetime	|01/01/1960	|Missing date code: animals not included in sacrifice per protocol						
pass1bf0009	Key.intervention	intervention	Key	For Phase 1A the exercise group is defined by those who complete the acute exercise test. For Phase 1B the exercise group is defined by those who complete exercise training.	int	|1|2|3	|Exercise (Phase 1A)|Training (Phase 1B)|Control						
pass1bf0010	Key.sacrificetime	sacrificetime	Key	For Phase 1A Sacrifice Time refers to the number of hours prior to sacrifice (post-acute test for the exercise group). For Phase 1B Sacrifice Time refers to the number of weeks of training.	int	|1|2|3|4|5|6|7|8|9|10|11	|Immediate Post Exercise (Phase 1A)|0.5 hour (Phase 1A)|1 hour (Phase 1A)|4 hour (Phase 1A)|7 hour (Phase 1A)|24 hour (Phase 1A)|48 hour (Phase 1A)|1 week of training or control time (Phase 1B)|2 weeks of training (Phase 1B)|4 weeks of training (Phase 1B)|8 weeks of training or control time (Phase 1B)						
pass1bf0011	Key.anirandgroup	anirandgroup	Key	Description of the randomization group	varchar								
pass1bf0012	Key.sitename	sitename	Key	The site where the samples were collected.  One of three PASS: Iowa, Florida, or Joslin.	int	|910|930|940	|Joslin|University of Florida|University of Iowa						
pass1bf0013	Registration.d_visit	d_visit	Registration	Date Completed	datetime			Animal Registration					
