"versionNbr (Form Version Number)","Rule Version Specific (0=no,1=yes)","Form Name (* indicates multiple forms involved)","Field Name (* indicates multiple fields involved)","Data Capture Rules Sequence","Rule Description","Rule Display Message","Rule Definition","Fields Involved","formGUID","fieldGUID","versionGUID"
0,0,"*","*",999,,"First NMR test occurred before  the first day of familiarization","d_nmr_rnmr_1 ne . And (d_visit_RFAM > d_nmr_rnmr_1)","D_NMR_RNMR_1|D_VISIT_RFAM","602626F2-0160-4998-88E7-4798478AE3A3","ALL","ALL"
0,0,"*","*",999,,"First V02 test occurred before the first day of familiarization","d_vo2_rvmt_1 ne . And (d_visit_RFAM > datepart(d_vo2_rvmt_1))","D_VO2_RVMT_1|D_VISIT_RFAM","1ADFF2AF-8588-4751-9958-D0D80049F021","ALL","ALL"
0,0,"*","*",999,"Reverse light date is entered on the registration form and treadmill begin date is entered on the familiarization form and and the reverse light date is less than 10 days before the treadmill begin date.","Reverse light date is not at least 10 days before treadmill begin date.","d_treadmillbegin_RFAM - d_reverselight_RREG < 9 and d_treadmillbegin_RFAM=. And d_reverselight_RREG=.","D_TREADMILLBEGIN_RFAM|D_REVERSELIGHT_RREG","B5AB1E0B-61EE-4556-A81D-CEE691625E75","ALL","ALL"
0,0,"Animal Familiarization","*",999,"Site ID is 910 or 940 and the percent fat data is entered on the familiarization form and is not expected.","Percent fat data entered on familiarization form (unexpected).","siteid IN (910,940) and fat_RFAM NE .","FAT_RFAM","B5AB1E0B-61EE-4556-A81D-CEE691625E75","ALL","ALL"
0,0,"Animal Familiarization","*",999,"Site ID is 910 or 940 and the percent lean data is entered on the familiarization form and is not expected.","Percent lean data entered on familiarization form (unexpected).","siteid IN (910,940) and lean_RFAM NE .","LEAN_RFAM","B5AB1E0B-61EE-4556-A81D-CEE691625E75","ALL","ALL"
0,0,"*","*",999,"Weight for the Female 18-month rat is entered on the familiarization form and is outside of the 200-300 range.","Female 18-month rat weight outside of 200-300 range (familiarization).","weight_rfam ne . and (d_visit_RREG - d_birth_RREG) > 10*30 and gender_RREG = 1 and (weight_rfam < 200 OR weight_rfam > 300)","WEIGHT_RFAM|D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG","B5AB1E0B-61EE-4556-A81D-CEE691625E75","ALL","ALL"
0,0,"*","*",999,"Weight for the Male 18-month rat is entered on the familiarization form and outside of the 300-600 range.","Male 18-month rat weight outside of 300-600 range (familiarization).","weight_rfam ne . and (d_visit_RREG - d_birth_RREG) > 10*30 and gender_RREG = 2 and (weight_rfam < 300 OR weight_rfam > 600)","WEIGHT_RFAM|D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG","B5AB1E0B-61EE-4556-A81D-CEE691625E75","ALL","ALL"
1,1,"Animal Familiarization","d_visit",0,"Date form completed should be prior to today's date","Date form completed should be prior to today's date","<cfif len(trim(form.d_visit))><cfif form.d_visit gt now()>","D_VISIT_RFAM","B5AB1E0B-61EE-4556-A81D-CEE691625E75","C112B918-E301-451E-A665-2E75EFFCE088","282D72B4-FACE-4689-85B4-AEC193D491DF"
1,1,"Animal Familiarization","d_treadmillbegin",1,"Treadmill familiarization start date is missing.","Q1 What date did the rat begin treadmill familiarization?","<cfif not len(trim(form.d_treadmillbegin))>","D_TREADMILLBEGIN_RFAM","B5AB1E0B-61EE-4556-A81D-CEE691625E75","B167BA66-994B-40B5-B6D1-324C52EE4300","282D72B4-FACE-4689-85B4-AEC193D491DF"
1,1,"Animal Familiarization","d_treadmillcomplete",2,"Treadmill familiarization completion date is missing.","Q2 What date did the rat complete treadmill familiarization?","<cfif not len(trim(form.d_treadmillcomplete))>","D_TREADMILLCOMPLETE_RFAM","B5AB1E0B-61EE-4556-A81D-CEE691625E75","24C22CE3-C434-47F5-A150-4FDDABA3738E","282D72B4-FACE-4689-85B4-AEC193D491DF"
