"versionNbr (Form Version Number)","Rule Version Specific (0=no,1=yes)","Form Name (* indicates multiple forms involved)","Field Name (* indicates multiple fields involved)","Data Capture Rules Sequence","Rule Description","Rule Display Message","Rule Definition","Fields Involved","formGUID","fieldGUID","versionGUID"
0,0,"*","*",999,,"Last day of training not 2 days prior to specimen collection (2-week rat)","ANIRandGroup = 'Two-week program' and d_visit_rspc - day10date_RTRA ne 2 and day10date_RTRA ne .","D_VISIT_RSPC|DAY10DATE_RTRA","FDFF5131-3541-4F04-A327-1404B00E0F56","ALL","ALL"
0,0,"*","*",999,,"Last day of training not 2 days prior to specimen collection (4-week rat)","ANIRandGroup = 'Four-week program' and d_visit_rspc - day20date_RTRA ne 2 and day20date_RTRA ne .","D_VISIT_RSPC|DAY20DATE_RTRA","FDFF5131-3541-4F04-A327-1404B00E0F56","ALL","ALL"
0,0,"*","*",999,,"Last day of training not 2 days prior to specimen collection (8-week rat)","ANIRandGroup in ('Eight-week program Control Group','Eight-week program Training Group') and d_visit_rspc - day40date_RTRA ne 2 and day40date_RTRA ne .","D_VISIT_RSPC|DAY40DATE_RTRA","FDFF5131-3541-4F04-A327-1404B00E0F56","ALL","ALL"
0,0,"Animal Specimen Collection","*",999,,"Iowa rat harvested without training data","siteid = 940 and day1date_RTRA = .","DAY1DATE_RTRA","FDFF5131-3541-4F04-A327-1404B00E0F56","ALL","ALL"
0,0,"*","*",999,,"rat harvested with missing training data in days 1-5","ANIRandGroup in ('Eight-week program Control Group','Eight-week program Training Group','Four-week program','Two-week program','One-week program','One-week program Control Group') and d_visit_rspc = . and (day5date_RTRA = . or day4date_RTRA = . or day3date_RTRA = . or day2date_RTRA = . or day1date_RTRA = .)","D_VISIT_RSPC|DAY5DATE_RTRA|DAY4DATE_RTRA|DAY3DATE_RTRA|DAY2DATE_RTRA|DAY1DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Rat should be 6 or 18 months old at harvest.  Check date of birth and date of specimen collection form.","ANIRandGroup in ('One-week program','One-week program Control Group','Two-week program') and ((d_visit_rspc - d_birth_RREG)/30.5<5.9 or (d_visit_rspc - d_birth_RREG)/30.5>=19.1 or ((d_visit_rspc - d_birth_RREG)/30.5>=7.1 and (d_visit_rspc - d_birth_RREG)/30.5<17.9))","D_VISIT_RSPC|D_BIRTH_RREG","FDFF5131-3541-4F04-A327-1404B00E0F56","ALL","ALL"
0,0,"*","*",999,,"Last day of training not 2 days prior to specimen collection (1-week rat)","ANIRandGroup in ('One-week program','One-week program Control Group') and d_visit_rspc - day5date_RTRA ne 2 and day5date_RTRA ne .","D_VISIT_RSPC|DAY5DATE_RTRA","FDFF5131-3541-4F04-A327-1404B00E0F56","ALL","ALL"
0,0,"*","*",999,"2/4/8- week rat harvested with missing training data in days 6-10","2/4/8- week rat harvested with missing training data in days 6-10","ANIRandGroup in ('Eight-week program Control Group','Eight-week program Training Group','Four-week program','Two-week program') and d_visit_rspc = . and (day6date_RTRA = . or day7date_RTRA = . or day8date_RTRA = . or day9date_RTRA = . or day10date_RTRA = .)","D_VISIT_RSPC|DAY6DATE_RTRA|DAY7DATE_RTRA|DAY8DATE_RTRA|DAY9DATE_RTRA|DAY10DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,"4/8-week rat harvested with missing training data in days 11-20","4/8-week rat harvested with missing training data in days 11-20","ANIRandGroup in ('Eight-week program Control Group','Eight-week program Training Group','Four-week program') and d_visit_rspc = . and (day11date_RTRA = . or day12date_RTRA = . or day13date_RTRA = . or day14date_RTRA = . or day15date_RTRA = . or day16date_RTRA = . or day17date_RTRA = . or day18date_RTRA = . or day19date_RTRA = . or day20date_RTRA = .)","D_VISIT_RSPC|DAY11DATE_RTRA|DAY12DATE_RTRA|DAY13DATE_RTRA|DAY14DATE_RTRA|DAY15DATE_RTRA|DAY16DATE_RTRA|DAY17DATE_RTRA|DAY18DATE_RTRA|DAY19DATE_RTRA|DAY20DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,"8-week rat is missing training data in day 21-40.","8-week rat harvested with missing training data in days 21-40","ANIRandGroup in ('Eight-week program Control Group','Eight-week program Training Group') and d_visit_rspc = . and (day21date_RTRA = . or day22date_RTRA = . or day23date_RTRA = . or day24date_RTRA = . or day25date_RTRA = . or day26date_RTRA = . or day27date_RTRA = . or day28date_RTRA = . or day29date_RTRA = . or day30date_RTRA = . or day31date_RTRA = . or day32date_RTRA = . or day33date_RTRA = . or day34date_RTRA = . or day35date_RTRA = . or day36date_RTRA = . or day37date_RTRA = . or day38date_RTRA = . or day39date_RTRA = . or day40date_RTRA = .)","D_VISIT_RSPC|DAY21DATE_RTRA|DAY22DATE_RTRA|DAY23DATE_RTRA|DAY24DATE_RTRA|DAY25DATE_RTRA|DAY26DATE_RTRA|DAY27DATE_RTRA|DAY28DATE_RTRA|DAY29DATE_RTRA|DAY30DATE_RTRA|DAY31DATE_RTRA|DAY32DATE_RTRA|DAY33DATE_RTRA|DAY34DATE_RTRA|DAY35DATE_RTRA|DAY36DATE_RTRA|DAY37DATE_RTRA|DAY38DATE_RTRA|DAY39DATE_RTRA|DAY40DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
