"pid","bid","labelid","wgt_gain_after_train","pct_body_fat_change","pct_body_lean_change","pct_body_fluid_change","lactate_change_dueto_train","vo2_max_change","EDTA_coll_time_train","deathtime_after_train","frozetime_after_train"
10282947,90403,90403013001,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,185472
10282947,90403,90403013002,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,185472
10282947,90403,90403013101,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,
10282947,90403,90403013102,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,
10282947,90403,90403013201,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,
10282947,90403,90403013202,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,
10282947,90403,90403013301,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178798
10282947,90403,90403013401,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178845
10282947,90403,90403013402,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178824
10282947,90403,90403013501,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178722
10282947,90403,90403013601,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178414
10282947,90403,90403013701,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178895
10282947,90403,90403013801,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,179026
10282947,90403,90403013901,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178618
10282947,90403,90403014001,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178719
10282947,90403,90403014101,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178695
10282947,90403,90403014201,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178889
10282947,90403,90403014301,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178715
10282947,90403,90403014501,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178864
10282947,90403,90403014601,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178790
10282947,90403,90403014701,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178487
10282947,90403,90403014801,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178572
10282947,90403,90403014901,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178652
10282947,90403,90403015001,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178805
10282947,90403,90403015101,31.6,1.3,1.1,0.1,8.1,-4.21,178260,178582,178543
10971645,90587,90587013001,,,,,,,180563,180787,187793
10971645,90587,90587013002,,,,,,,180563,180787,187793
10971645,90587,90587013101,,,,,,,180563,180787,
10971645,90587,90587013102,,,,,,,180563,180787,
10971645,90587,90587013201,,,,,,,180563,180787,
10971645,90587,90587013202,,,,,,,180563,180787,
10971645,90587,90587013301,,,,,,,180563,180787,181016
10971645,90587,90587013401,,,,,,,180563,180787,181060
10971645,90587,90587013402,,,,,,,180563,180787,181035
10971645,90587,90587013501,,,,,,,180563,180787,180982
10971645,90587,90587013601,,,,,,,180563,180787,180674
10971645,90587,90587013701,,,,,,,180563,180787,181118
10971645,90587,90587013801,,,,,,,180563,180787,181272
10971645,90587,90587013901,,,,,,,180563,180787,180846
10971645,90587,90587014001,,,,,,,180563,180787,180926
10971645,90587,90587014101,,,,,,,180563,180787,181016
10971645,90587,90587014201,,,,,,,180563,180787,181035
10971645,90587,90587014301,,,,,,,180563,180787,180905
10971645,90587,90587014501,,,,,,,180563,180787,181104
10971645,90587,90587014601,,,,,,,180563,180787,180993
10971645,90587,90587014701,,,,,,,180563,180787,180734
10971645,90587,90587014801,,,,,,,180563,180787,181009
10971645,90587,90587014901,,,,,,,180563,180787,180853
10971645,90587,90587015001,,,,,,,180563,180787,181148
10971645,90587,90587015101,,,,,,,180563,180787,180770
10027084,90235,90235013001,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,190930
10027084,90235,90235013002,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,190930
10027084,90235,90235013102,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,
10027084,90235,90235013103,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,
10027084,90235,90235013201,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,
10027084,90235,90235013202,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,
10027084,90235,90235013301,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,184262
10027084,90235,90235013401,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,184295
10027084,90235,90235013402,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,184278
10027084,90235,90235013501,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,184184
10027084,90235,90235013601,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,183780
10027084,90235,90235013701,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,184369
10027084,90235,90235013801,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,184605
10027084,90235,90235013901,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,184024
10027084,90235,90235014001,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,184123
10027084,90235,90235014101,-12.4,-4.5,3.1,-0.4,7.8,12.62,183648,183973,184155
