"participantGUID","visitGUID","d_visit","days_visit","staffID","siteGUID","siteID","pid","visitcode","formGUID","FormName","versionGUID","versionNbr","anesthesiaid","t_anesthesia","anesthesiacomments","bloodtype","bloodtube","bloodcomplete","bloodtechid","t_bloodstart","t_bloodstop","t_edtafill","bloodcomments","uterustype","uterustechid","uteruscomplete","t_uterusstart","t_uterusstop","uterusweight","uteruscomments","t_death","deathtype"
"368506A7-921A-40D5-9A2F-7E2A0B719A3A","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","22APR2019",90,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10973699,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"11:39:42",,"EDTA","Draw",1,1333,"11:42:03","11:42:35","11:42:47",,"UTERUS",,3,,,,,"11:48:16",2
"E045B0FC-23D0-4DA6-8B94-980A94414C9B","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","22APR2019",90,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,10984461,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"12:03:02",,"EDTA","Draw",1,1333,"12:06:03","12:06:28","12:06:43",,"UTERUS",,3,,,,,"12:12:36",2
"A1DB1E26-89FB-4DB2-9783-630D955CBB26","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","22APR2019",90,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11004835,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"12:29:26",,"EDTA","Draw",1,1333,"12:31:47","12:32:16","12:32:32",,"UTERUS",,3,,,,,"12:39:02",2
"7B2414B3-8A89-4A6A-A020-A0BDA06A292C","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","22APR2019",90,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11005564,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"12:53:27","392 g","EDTA","Draw",2,1333,"12:56:05","12:56:44","12:56:55",,"UTERUS",,3,,,,,"13:02:35",2
"E7E3166E-161F-448A-91FD-8DF8E7B64F64","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","25APR2019",93,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11025670,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"11:41:59",,"EDTA","Draw",1,1333,"11:44:28","11:44:47","11:45:03",,"UTERUS",,3,,,,,"11:50:02",2
"95C0DE6B-E7B3-41E4-AA2C-FC4E5F1808C9","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","25APR2019",93,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11037849,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"12:02:05",,"EDTA","Draw",1,1333,"12:05:36","12:05:53","12:06:12",,"UTERUS",,3,,,,,"12:10:31",2
"0D70EACB-E56C-4775-AB71-8B911B2C2EB9","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","25APR2019",93,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11054859,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"12:23:42",,"EDTA","Draw",2,1333,"12:25:40","12:26:51","12:27:04",,"UTERUS",,3,,,,,"12:31:51",2
"D287211B-DB77-4495-A708-B409D52F99EC","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","25APR2019",93,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11056983,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"12:47:25",,"EDTA","Draw",1,1333,"12:49:40","12:50:25","12:50:40",,"UTERUS",,3,,,,,"12:55:10",2
"13930EFE-647E-4A94-85C3-A3E6C42A1332","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","25APR2019",93,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11068051,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"13:07:13",,"EDTA","Draw",1,1333,"13:09:33","13:10:06","13:10:24",,"UTERUS",,3,,,,,"13:15:10",2
"D1091E98-5E96-49D9-8A3C-4351622D57E9","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","22APR2019",90,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11083522,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"13:56:30",,"EDTA","Draw",1,1333,"13:59:43","13:59:57","14:00:12",,"UTERUS",,3,,,,,"14:05:41",2
"5DB8754C-C3A0-41D4-86A6-FA08ED33E52F","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","24APR2019",92,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11098392,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"11:35:17",,"EDTA","Draw",2,1333,"11:38:13","11:38:50","11:39:06",,"UTERUS",,3,,,,,"11:43:55",2
"DB08F357-1376-49A2-A303-58BF29A5D82F","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","24APR2019",92,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11108886,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"11:56:07","387 g","EDTA","Draw",2,1333,"11:58:48","11:59:26","11:59:43",,"UTERUS",,3,,,,,"12:04:35",2
"BD578DDC-2732-4208-A172-9B9B1DDC7FB2","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","26APR2019",94,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11154993,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"11:38:58",,"EDTA","Draw",2,1333,"11:41:18","11:42:18","11:42:30",,"UTERUS",,3,,,,,"11:47:54",2
"12BA31D7-5B87-482B-BB3D-94B5E0F8D230","5CF42052-ABA3-4659-B53A-7DB6C77EFFBC","26APR2019",94,1332,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,11161698,"Post-Training","FDFF5131-3541-4F04-A327-1404B00E0F56","Animal Specimen Collection","51422BB5-1939-4A7F-A461-3C4339A3007F",2,1332,"12:05:35",,"EDTA","Draw",1,1333,"12:08:19","12:09:00","12:09:16",,"UTERUS",,3,,,,,"12:13:58",2
