"External Data Release (1=All, 2=Low Risk, 3=High Risk: Internal Use ONLY, 4=System Codes: Internal Use)","versionNbr (Form Version Number)","Data Set Variable Sequence","FormName","Field Name","Calculated/Created variable (1=yes)","Alias (Field Name description)","Data Type","Categorical Values","Categorical Definitions","Continous Range Min","Continous Range Max","fieldGUID (Field unique identifier)"
4,1,1,"Animal Familiarization","participantGUID",,"Participant Unique ID","varchar",,,,,"C24D377C-6F8E-4701-96D2-46D9AF8FB5D5"
3,1,2,"Animal Familiarization","d_visit",,"Date Completed","datetime",,,,,"C112B918-E301-451E-A665-2E75EFFCE088"
1,1,3,"Animal Familiarization","days_visit",1,"[C] Day (in relation to arrival date) Completed","int",,,,,"C112B918-E301-451E-A665-2E75EFFCE088D"
1,1,4,"Animal Familiarization","staffID",,"Staff ID","int",,,,,"69D44852-27BD-4F9D-BEC8-CE44BDAB590A"
4,1,5,"Animal Familiarization","siteGUID",,"Site Unique ID","varchar",,,,,"BCDEF5C7-05BD-4BA0-B926-9B0A036F8619"
1,1,6,"Animal Familiarization","siteID",,"Site Numeric ID","int","|910|930|940","|Joslin Diabetes Center|University of Florida|University of Iowa",,,"EC59665A-072A-489D-9895-1558E94987E9"
1,1,7,"Animal Familiarization","pid",,"Unique, randomly generated 8 digit numeric identifier used in linkage to phenotypic data","varchar",,,,,"61867240-0A49-4C41-8539-E2C0F7519E80"
4,1,8,"Animal Familiarization","formGUID",,"Form Unique ID","varchar","B5AB1E0B-61EE-4556-A81D-CEE691625E75",,,,"12860C5A-6A50-4BA4-A233-84FAF73A4A6E"
1,1,9,"Animal Familiarization","FormName",,"Form Name","varchar","Animal Familiarization",,,,"6FA1753B-16C1-4E2A-AC85-3650C559CB06"
4,1,10,"Animal Familiarization","versionGUID",,"Version Unique ID","varchar","282D72B4-FACE-4689-85B4-AEC193D491DF",,,,"D5CFE626-4266-4AAF-99C1-A16152222CD0"
1,1,11,"Animal Familiarization","versionNbr",,"Version Number","int",1,,,,"70659EEA-843C-4A5B-AD2D-51372072E271"
3,1,12,"Animal Familiarization","d_treadmillbegin",,"What date did the rat begin treadmill familiarization?","datetime",,,,,"B167BA66-994B-40B5-B6D1-324C52EE4300"
1,1,13,"Animal Familiarization","days_treadmillbegin",1,"[C] What day (in relation to arrival date) did the rat begin treadmill familiarization?","int",,,,,"B167BA66-994B-40B5-B6D1-324C52EE4300D"
3,1,14,"Animal Familiarization","d_treadmillcomplete",,"What date did the rat complete treadmill familiarization?","datetime",,,,,"24C22CE3-C434-47F5-A150-4FDDABA3738E"
1,1,15,"Animal Familiarization","days_treadmillcomplete",1,"[C] What day (in relation to arrival date) did the rat complete treadmill familiarization?","int",,,,,"24C22CE3-C434-47F5-A150-4FDDABA3738ED"
1,1,16,"Animal Familiarization","compliant",,"Is this rat compliant?","int","|1|0","|Yes|No",,,"6DF8345C-96C5-45F0-A76D-AF31CE5DA3A7"
1,1,17,"Animal Familiarization","weight",,"What is the rat's body weight?","numeric",,,300,600,"932ECC79-99C4-4394-A445-C8F93A856049"
1,1,18,"Animal Familiarization","fat",,"What is the rat's percent body fat?*","numeric",,,0,100,"164C841F-FA19-4F15-9843-8B53EBB577E3"
1,1,19,"Animal Familiarization","lean",,"What is the rat's percent lean?*","numeric",,,0,100,"35CC65DF-5ADC-4E4D-9089-3484CFDD110A"
2,1,20,"Animal Familiarization","comments",,"Comments:","varchar(MAX)",,,,,"1424BA6A-9187-4642-A346-C0747EF09CF2"
4,2,21,"Animal Familiarization","participantGUID",,"Participant Unique ID","varchar",,,,,"C24D377C-6F8E-4701-96D2-46D9AF8FB5D5"
3,2,22,"Animal Familiarization","d_visit",,"Date Completed","datetime",,,,,"C112B918-E301-451E-A665-2E75EFFCE088"
1,2,23,"Animal Familiarization","days_visit",1,"[C] Day (in relation to arrival date) Completed","int",,,,,"C112B918-E301-451E-A665-2E75EFFCE088D"
1,2,24,"Animal Familiarization","staffID",,"Staff ID","int",,,,,"69D44852-27BD-4F9D-BEC8-CE44BDAB590A"
4,2,25,"Animal Familiarization","siteGUID",,"Site Unique ID","varchar",,,,,"BCDEF5C7-05BD-4BA0-B926-9B0A036F8619"
1,2,26,"Animal Familiarization","siteID",,"Site Numeric ID","int","|910|930|940","|Joslin Diabetes Center|University of Florida|University of Iowa",,,"EC59665A-072A-489D-9895-1558E94987E9"
1,2,27,"Animal Familiarization","pid",,"Unique, randomly generated 8 digit numeric identifier used in linkage to phenotypic data","varchar",,,,,"61867240-0A49-4C41-8539-E2C0F7519E80"
4,2,28,"Animal Familiarization","formGUID",,"Form Unique ID","varchar","B5AB1E0B-61EE-4556-A81D-CEE691625E75",,,,"12860C5A-6A50-4BA4-A233-84FAF73A4A6E"
1,2,29,"Animal Familiarization","FormName",,"Form Name","varchar","Animal Familiarization",,,,"6FA1753B-16C1-4E2A-AC85-3650C559CB06"
4,2,30,"Animal Familiarization","versionGUID",,"Version Unique ID","varchar","F3C3114E-9914-4F0A-84E4-B074FD95524D",,,,"D5CFE626-4266-4AAF-99C1-A16152222CD0"
1,2,31,"Animal Familiarization","versionNbr",,"Version Number","int",2,,,,"70659EEA-843C-4A5B-AD2D-51372072E271"
3,2,32,"Animal Familiarization","d_treadmillbegin",,"What date did the rat begin treadmill familiarization?","datetime",,,,,"CBC2FA55-CE5D-44B3-A93D-A7B1FEFF47EA"
1,2,33,"Animal Familiarization","days_treadmillbegin",1,"[C] What day (in relation to arrival date) did the rat begin treadmill familiarization?","int",,,,,"CBC2FA55-CE5D-44B3-A93D-A7B1FEFF47EAD"
3,2,34,"Animal Familiarization","d_treadmillcomplete",,"What date did the rat complete treadmill familiarization?","datetime",,,,,"3028EACB-8551-4880-A8D6-271353E1DB27"
1,2,35,"Animal Familiarization","days_treadmillcomplete",1,"[C] What day (in relation to arrival date) did the rat complete treadmill familiarization?","int",,,,,"3028EACB-8551-4880-A8D6-271353E1DB27D"
1,2,36,"Animal Familiarization","activity_score",,"What is the rat's activity score?","numeric",,,,,"0E105344-67FF-4EC8-9C82-6CA0444B5E07"
1,2,37,"Animal Familiarization","compliant",,"Is this rat compliant?","int","|1|0","|Yes|No",,,"7D8FD97A-4D93-477F-A77A-2FE3B2ACFCA6"
1,2,38,"Animal Familiarization","weight",,"What is the rat's body weight?","numeric",,,300,600,"CA4BF920-6401-4C03-82B4-179112EDDF2D"
1,2,39,"Animal Familiarization","fat",,"What is the rat's percent body fat?*","numeric",,,0,100,"042FA2C4-7871-44D6-AD06-385DA27ACCB5"
1,2,40,"Animal Familiarization","lean",,"What is the rat's percent lean?*","numeric",,,0,100,"2B59493D-87CA-4872-B335-A52C749B2133"
2,2,41,"Animal Familiarization","comments",,"Comments:","varchar(MAX)",,,,,"CF092437-2F73-4FFE-A2D6-B99F436E1F25"

