"External Data Release (1=All, 2=Low Risk, 3=High Risk: Internal Use ONLY, 4=System Codes: Internal Use)","versionNbr (Form Version Number)","Data Set Variable Sequence","FormName","Field Name","Calculated/Created variable (1=yes)","Alias (Field Name description)","Data Type","Categorical Values","Categorical Definitions","Continous Range Min","Continous Range Max","fieldGUID (Field unique identifier)"
4,1,1,"Animal Registration","participantGUID",,"Participant Unique ID","varchar",,,,,"C24D377C-6F8E-4701-96D2-46D9AF8FB5D5"
3,1,2,"Animal Registration","d_visit",,"Date Completed","datetime",,,,,"C112B918-E301-451E-A665-2E75EFFCE088"
1,1,3,"Animal Registration","days_visit",1,"[C] Day (in relation to arrival date) Completed","int",,,,,"C112B918-E301-451E-A665-2E75EFFCE088D"
1,1,4,"Animal Registration","staffID",,"Staff ID","int",,,,,"69D44852-27BD-4F9D-BEC8-CE44BDAB590A"
4,1,5,"Animal Registration","siteGUID",,"Site Unique ID","varchar",,,,,"BCDEF5C7-05BD-4BA0-B926-9B0A036F8619"
1,1,6,"Animal Registration","siteID",,"Site Numeric ID","int","|910|930|940","|Joslin Diabetes Center|University of Florida|University of Iowa",,,"EC59665A-072A-489D-9895-1558E94987E9"
1,1,7,"Animal Registration","pid",,"Unique, randomly generated 8 digit numeric identifier used in linkage to phenotypic data","varchar",,,,,"61867240-0A49-4C41-8539-E2C0F7519E80"
4,1,8,"Animal Registration","formGUID",,"Form Unique ID","varchar","4A6B7968-EA18-43ED-A70E-6E78F1B63B32",,,,"12860C5A-6A50-4BA4-A233-84FAF73A4A6E"
1,1,9,"Animal Registration","FormName",,"Form Name","varchar","Animal Registration",,,,"6FA1753B-16C1-4E2A-AC85-3650C559CB06"
4,1,10,"Animal Registration","versionGUID",,"Version Unique ID","varchar","D6DD4072-B3E1-4D60-ACCE-6338DF642BCF",,,,"D5CFE626-4266-4AAF-99C1-A16152222CD0"
1,1,11,"Animal Registration","versionNbr",,"Version Number","int",1,,,,"70659EEA-843C-4A5B-AD2D-51372072E271"
2,1,12,"Animal Registration","ratid",,"Site rat ID","varchar",,,,,"FAA093E1-B496-4B22-8F2E-49DA95C3C640"
3,1,13,"Animal Registration","d_arrive",,"What date did the rat arrive at the site?","datetime",,,,,"0A7723D9-B487-45E7-B80D-8E3D5359378C"
1,1,14,"Animal Registration","days_arrive",1,"[C] What day (in relation to arrival date) did the rat arrive at the site?","int",,,,,"0A7723D9-B487-45E7-B80D-8E3D5359378CD"
1,1,15,"Animal Registration","batchnumber",,"Batch Number","varchar",,,,,"2A3F520E-3C93-42ED-BD77-00336E8BDE67"
3,1,16,"Animal Registration","d_reverselight",,"What date was the rat housed in reverse light? (can be same as Q2)","datetime",,,,,"52D94822-98A6-4388-A67B-26820666F899"
1,1,17,"Animal Registration","days_reverselight",1,"[C] What day (in relation to arrival date) was the rat housed in reverse light? (can be same as Q2)","int",,,,,"52D94822-98A6-4388-A67B-26820666F899D"
3,1,18,"Animal Registration","d_birth",,"What is the rat's date of birth?","datetime",,,,,"9074A0A5-F964-4087-9A16-247B25BE54BA"
1,1,19,"Animal Registration","days_birth",1,"[C] What is the rat's day (in relation to arrival date) of birth?","int",,,,,"9074A0A5-F964-4087-9A16-247B25BE54BAD"
1,1,20,"Animal Registration","sex",,"What is the sex of the rat?","int","|1|2","|Female|Male",,,"C8F5A7F0-F567-4BF0-844B-7679E3449ED1"
1,1,21,"Animal Registration","weight",,"What is the rat's body weight?","numeric",,,300,600,"A99D1B6A-4388-4828-AFB5-0F2BB08D6025"
1,1,22,"Animal Registration","cagenumber",,"In what cage number is the rat housed?","varchar",,,,,"D010CF74-E338-4E15-AF54-CF47D8F16E33"
2,1,23,"Animal Registration","comments",,"Comments:","varchar(MAX)",,,,,"C3B976B5-49F1-47E2-A767-9942D0B80139"

