"versionNbr (Form Version Number)","Rule Version Specific (0=no,1=yes)","Form Name (* indicates multiple forms involved)","Field Name (* indicates multiple fields involved)","Data Capture Rules Sequence","Rule Description","Rule Display Message","Rule Definition","Fields Involved","formGUID","fieldGUID","versionGUID"
0,0,"*","*",999,,"Rat should be 6 or 18 months old at harvest.  Check date of birth and date of specimen collection form.","ANIRandGroup in ('One-week program','One-week program Control Group','Two-week program') and ((d_visit_rspc - d_birth_RREG)/30.5<5.9 or (d_visit_rspc - d_birth_RREG)/30.5>=19.1 or ((d_visit_rspc - d_birth_RREG)/30.5>=7.1 and (d_visit_rspc - d_birth_RREG)/30.5<17.9))","D_VISIT_RSPC|D_BIRTH_RREG","FDFF5131-3541-4F04-A327-1404B00E0F56","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 20 speed on treadmill is not 18","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day20_treadmillspeed_RTRA ne 18 and day20_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY20_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 18 speed on treadmill is not 18","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day18_treadmillspeed_RTRA ne 18 and day18_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY18_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 17 speed on treadmill is not 18","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day17_treadmillspeed_RTRA ne 18 and day17_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY17_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 15 speed on treadmill is not 15","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day15_treadmillspeed_RTRA ne 15 and day15_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY15_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 19 speed on treadmill is not 18","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day19_treadmillspeed_RTRA ne 18 and day19_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY19_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 13 speed on treadmill is not 15","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day13_treadmillspeed_RTRA ne 15 and day13_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY13_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 14 speed on treadmill is not 15","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day14_treadmillspeed_RTRA ne 15 and day14_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY14_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 16 speed on treadmill is not 18","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day16_treadmillspeed_RTRA ne 18 and day16_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY16_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 11 speed on treadmill is not 15","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day11_treadmillspeed_RTRA ne 15 and day11_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY11_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
