"versionNbr (Form Version Number)","Rule Version Specific (0=no,1=yes)","Form Name (* indicates multiple forms involved)","Field Name (* indicates multiple fields involved)","Data Capture Rules Sequence","Rule Description","Rule Display Message","Rule Definition","Fields Involved","formGUID","fieldGUID","versionGUID"
0,0,"*","*",999,,"Last day of training not 2 days prior to specimen collection (1-week rat)","ANIRandGroup in ('One-week program','One-week program Control Group') and d_visit_rspc - day5date_RTRA ne 2 and day5date_RTRA ne .","D_VISIT_RSPC|DAY5DATE_RTRA","FDFF5131-3541-4F04-A327-1404B00E0F56","ALL","ALL"
0,0,"Animal Training","*",999,,"1/2-week rat with training data after day 10","ANIRandGroup in ('Two-week program','One-week program','One-week program Control Group') and (day11date_RTRA = . or day12date_RTRA = . or day13date_RTRA = . or day14date_RTRA = . or day15date_RTRA = . or day16date_RTRA = . or day17date_RTRA = . or day18date_RTRA = . or day19date_RTRA = . or day20date_RTRA = .)","DAY11DATE_RTRA|DAY12DATE_RTRA|DAY13DATE_RTRA|DAY14DATE_RTRA|DAY15DATE_RTRA|DAY16DATE_RTRA|DAY17DATE_RTRA|DAY18DATE_RTRA|DAY19DATE_RTRA|DAY20DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,,"1/2/4-week rat with training data after day 20","ANIRandGroup in ('Four-week program','Two-week program','One-week program','One-week program Control Group') and (day21date_RTRA = . or day22date_RTRA = . or day23date_RTRA = . or day24date_RTRA = . or day25date_RTRA = . or day26date_RTRA = . or day27date_RTRA = . or day28date_RTRA = . or day29date_RTRA = . or day30date_RTRA = . or day31date_RTRA = . or day32date_RTRA = . or day33date_RTRA = . or day34date_RTRA = . or day35date_RTRA = . or day36date_RTRA = . or day37date_RTRA = . or day38date_RTRA = . or day39date_RTRA = . or day40date_RTRA = .)","DAY21DATE_RTRA|DAY22DATE_RTRA|DAY23DATE_RTRA|DAY24DATE_RTRA|DAY25DATE_RTRA|DAY26DATE_RTRA|DAY27DATE_RTRA|DAY28DATE_RTRA|DAY29DATE_RTRA|DAY30DATE_RTRA|DAY31DATE_RTRA|DAY32DATE_RTRA|DAY33DATE_RTRA|DAY34DATE_RTRA|DAY35DATE_RTRA|DAY36DATE_RTRA|DAY37DATE_RTRA|DAY38DATE_RTRA|DAY39DATE_RTRA|DAY40DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,,"Day 5 Treadmill Speed is missing.","control = 0 and (day5date_rtra=. or day5_weight_rtra=. or day5_posttrainlact_rtra=. or day5_score_rtra=. or day5_timeontreadmill_rtra=. or day5_treadmillincline_rtra=. or day5_treadmillspeed_rtra=.) and day5_treadmillspeed_rtra =.","DAY5DATE_RTRA|DAY5_WEIGHT_RTRA|DAY5_POSTTRAINLACT_RTRA|DAY5_SCORE_RTRA|DAY5_TIMEONTREADMILL_RTRA|DAY5_TREADMILLINCLINE_RTRA|DAY5_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"Animal Training","*",999,,"1-week rat with training data after day 5","ANIRandGroup in ('One-week program','One-week program Control Group') and (day6date_RTRA = . or day7date_RTRA = . or day8date_RTRA = . or day9date_RTRA = . or day10date_RTRA = .)","DAY6DATE_RTRA|DAY7DATE_RTRA|DAY8DATE_RTRA|DAY9DATE_RTRA|DAY10DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 19 speed on treadmill is not 18","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day19_treadmillspeed_RTRA ne 18 and day19_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY19_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 20 speed on treadmill is not 18","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day20_treadmillspeed_RTRA ne 18 and day20_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY20_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"rat harvested with missing training data in days 1-5","ANIRandGroup in ('Eight-week program Control Group','Eight-week program Training Group','Four-week program','Two-week program','One-week program','One-week program Control Group') and d_visit_rspc = . and (day5date_RTRA = . or day4date_RTRA = . or day3date_RTRA = . or day2date_RTRA = . or day1date_RTRA = .)","D_VISIT_RSPC|DAY5DATE_RTRA|DAY4DATE_RTRA|DAY3DATE_RTRA|DAY2DATE_RTRA|DAY1DATE_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 17 speed on treadmill is not 18","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day17_treadmillspeed_RTRA ne 18 and day17_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY17_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
0,0,"*","*",999,,"Male 6-month rat Day 16 speed on treadmill is not 18","ANIRandGroup in ('Four-week program Training Group') and (d_visit_RREG - d_birth_RREG) < 10*30 and gender_RREG = 2 and day16_treadmillspeed_RTRA ne 18 and day16_treadmillspeed_RTRA ne .","D_VISIT_RREG|D_BIRTH_RREG|GENDER_RREG|DAY16_TREADMILLSPEED_RTRA","7010EE02-1CC1-43B5-9CB1-D3AD3BB180E9","ALL","ALL"
