"recid","FormName","formguid","versionguid","versionnbr","siteguid","siteid","environmentguid","environmentdateentered","environmenttemp","environmenthumidity"
435,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"4A974E6A-60F3-4495-B6F3-2A1D617D226B","08JUN2018:00:00:00.000",22.2,54.9
436,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"1C891186-ACAC-40D7-9A19-E2FD755D79F2","09JUN2018:00:00:00.000",22.2,58.2
437,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"90C57ACE-D242-47CB-90AD-A112D9DB7112","10JUN2018:00:00:00.000",22.2,55.0
438,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"E592A6CB-5A5B-47A2-982A-1B542CE92D64","11JUN2018:00:00:00.000",22.2,55.1
439,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"C6455B9C-4BCA-490B-BAC0-A603125A40F2","12JUN2018:00:00:00.000",22.2,57.6
440,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"E3BD483A-AAC4-45D4-944C-A4A5FCBF6020","13JUN2018:00:00:00.000",22.2,51.2
441,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"6EB4F02A-E7C8-4943-AA33-D38C73484459","14JUN2018:00:00:00.000",22.1,53.7
442,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"41F46065-0788-4D6F-80E7-ABAF402E23BA","15JUN2018:00:00:00.000",22.3,59.3
443,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"45344614-524E-4494-8AE6-4B85F56D665E","16JUN2018:00:00:00.000",22.1,61.5
444,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"9591E31D-4B32-4B01-9BC1-B5D348F86329","17JUN2018:00:00:00.000",22.1,60.5
445,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"C3233BC9-C405-46D7-AAA4-0CB431EF0A61","18JUN2018:00:00:00.000",22.1,62.3
447,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"C540E622-C806-411D-8630-F9C5778021A9","19JUN2018:00:00:00.000",22.2,59.3
448,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"52927192-C968-4863-B087-7AE146007AC8","20JUN2018:00:00:00.000",22.2,58.3
449,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"881468C5-DC48-4C31-BA98-C5CD63A04BC0","21JUN2018:00:00:00.000",22.2,56.0
450,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"ADB9DFD4-93D3-46D5-BB49-9D6001B86327","22JUN2018:00:00:00.000",22.2,54.2
451,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"4408BE97-FE19-4FE4-9A25-FF8BB79D38EF","23JUN2018:00:00:00.000",22.3,53.7
452,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"3BFE7807-9EE1-47CF-9122-556D723DCE8C","24JUN2018:00:00:00.000",22.3,54.7
453,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"A2F50C87-13D5-444C-A7CF-78C097B118D0","25JUN2018:00:00:00.000",22.2,55.1
454,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"D43EA39A-A7B4-473D-AE9D-C9CE995D1891","26JUN2018:00:00:00.000",22.2,57.4
455,"Animal Environment Log","83A3A59C-FD7A-4C71-9AC2-B87C9717D5C7","6FD0B661-CACE-4F11-92B5-0A6BE5B04844",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"DB6868CB-7545-4A29-A0DE-24438EB982CA","27JUN2018:00:00:00.000",22.2,56.1
