"pid","BW","LG","MG","PL","SOL"
10023259,346.20000,832,636,294,117
10024735,304.70000,897,592,282,140
10024816,324.60000,811,604,293,120
10025464,332.80000,851,618,296,121
10025545,353.80000,827,725,323,134
10025626,293.30000,809,653,316,136
10025707,331.00000,944,710,337,151
10025898,321.10000,870,670,306,146
10025979,327.00000,831,600,284,143
10026002,360.20000,808,618,294,151
10026193,321.20000,844,654,338,154
10026274,318.60000,818,609,288,124
10026355,381.10000,992,710,340,150
10026436,311.20000,865,659,311,130
10026517,366.10000,871,634,288,131
10026789,357.20000,916,620,323,144
10026940,326.50000,806,622,282,133
10027084,324.50000,903,622,333,154
10027165,305.20000,819,618,320,142
10027246,287.40000,838,613,314,119
10027327,351.40000,901,694,302,130
10027408,312.60000,847,611,319,139
10027599,342.70000,855,662,320,135
10027831,383.40000,952,762,340,162
10027912,317.90000,849,668,325,152
10043527,196.20000,556,390,189,82
10043608,194.00000,592,410,198,81
10043799,196.20000,530,372,172,70
10043950,195.00000,567,384,179,73
10044094,190.00000,531,385,174,72
10044175,180.90000,515,383,176,75
10044256,176.80000,579,352,171,69
10044337,199.10000,540,389,174,75
10044418,186.40000,578,389,175,74
10044760,180.00000,512,380,188,88
10044841,180.70000,520,386,169,70
10044922,180.20000,526,363,168,80
10045066,168.90000,501,345,180,65
10045228,181.30000,519,386,176,77
10045309,183.40000,547,396,182,81
10045570,184.80000,500,347,172,72
10045651,197.70000,533,399,198,84
10045732,179.70000,555,401,183,74
10045813,179.90000,513,348,182,62
10046038,199.00000,589,383,182,73
10046119,200.20000,560,389,188,79
10046380,209.30000,586,418,194,86
10046461,200.30000,591,433,193,83
10046542,194.90000,609,420,200,77
10046623,192.20000,562,432,192,79
10046704,177.00000,539,388,194,70
10046895,192.30000,573,394,190,79
10046976,194.20000,550,412,205,86
10047190,195.40000,552,392,190,74
10059369,324.20000,873,663,323,151
10063633,332.90000,833,651,291,131
10085017,343.90000,889,599,315,136
10088113,271.00000,769,527,256,123
10093702,267.90000,785,580,265,121
10095241,307.70000,787,605,280,137
10106383,301.40000,779,581,290,140
10136967,353.90000,978,691,351,146
10139044,297.60000,796,590,285,123
10139710,265.40000,665,513,249,107
10152148,336.10000,885,621,301,129
10171010,311.30000,847,602,279,133
10175431,308.50000,866,642,303,146
10179267,311.70000,836,592,297,117
10185585,319.10000,796,610,272,115
10204989,313.30000,858,646,325,135
10219315,327.40000,831,660,319,159
10220917,298.10000,828,589,296,130
10244182,188.40000,611,372,194,69
10268871,174.30000,491,358,181,84
10282947,181.30000,524,376,188,82
10284052,184.10000,541,393,192,77
10300007,195.10000,587,411,220,87
10306471,200.00000,578,402,199,82
10309659,181.30000,533,384,186,80
10314733,185.30000,548,387,180,89
10315624,175.00000,521,366,174,69
10335064,181.40000,544,397,210,82
10335730,192.30000,553,420,189,86
10337199,188.80000,564,370,179,81
10338918,187.30000,553,384,190,81
10356738,229.00000,700,446,218,108
10366296,185.60000,569,406,197,87
10381414,186.20000,549,386,187,76
10387021,190.70000,527,410,167,72
10391800,190.00000,594,372,198,83
10398651,192.40000,556,402,189,87
10411690,163.50000,499,332,165,69
10417702,337.50000,854,620,302,147
10422463,380.20000,932,718,339,148
10424911,333.60000,833,574,294,132
10434046,323.50000,806,600,276,123
10436170,337.10000,796,618,320,134
10471596,324.90000,845,637,296,163
10472053,303.90000,820,573,285,121
10478337,311.10000,815,588,277,133
10486003,313.70000,861,585,297,157
10496580,348.00000,883,615,321,141
10502300,399.40000,1053,752,378,174
10503110,323.40000,812,630,298,136
10531599,333.10000,893,650,298,151
10536558,334.30000,892,680,297,139
10543767,346.30000,857,648,291,153
10553053,389.30000,903,741,351,155
10561072,340.10000,860,610,300,133
10564179,331.90000,874,593,313,139
10587543,326.50000,814,577,293,126
10589325,310.90000,818,638,293,134
10591575,326.60000,858,672,303,140
10611193,321.20000,907,623,289,138
10616233,299.70000,764,560,287,133
10619259,373.60000,992,683,333,159
10621903,316.90000,825,624,321,123
10637079,314.50000,893,621,300,145
10641858,307.30000,859,634,285,142
10672656,326.30000,886,534,304,139
10675086,345.70000,885,629,316,169
10677887,336.10000,800,584,287,129
10680837,174.30000,526,381,178,74
10700102,186.70000,570,378,180,86
10702741,195.10000,620,435,211,84
10729518,194.90000,625,387,200,86
10732306,179.60000,548,375,191,76
10734945,188.90000,592,414,185,82
10742611,194.00000,577,411,201,87
10756086,202.80000,629,411,195,84
10760008,183.10000,590,373,197,87
10761160,193.30000,595,398,198,83
10770666,193.10000,562,377,199,80
10780629,186.60000,576,396,187,85
10782168,181.90000,574,384,207,83
10784616,194.20000,548,400,184,80
10830073,180.00000,558,371,178,84
10833331,185.30000,571,399,188,79
10858679,179.70000,536,375,183,76
10871349,191.80000,585,443,198,89
10877894,186.90000,572,394,202,85
10886028,183.30000,556,366,176,81
10901000,197.70000,561,409,181,86
10901434,175.30000,566,393,181,79
10914331,182.60000,558,380,186,79
10934529,179.00000,545,361,189,81
10950486,179.30000,565,360,182,80
10950648,197.30000,575,415,198,73
10953744,183.30000,572,383,191,81
10962735,190.60000,573,412,186,77
10971645,186.40000,564,395,188,79
10972374,185.70000,535,391,181,72

